"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"142","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT","P&F | F.A","6.68%","467.65","22,423,725"
"74","Hdfc Bank Limited","HDFCBANK","P&F | F.A","3.11%","1657.85","45,065,598"
"95","Axis Bank Limited","AXISBANK","P&F | F.A","2.92%","1226.65","17,987,437"
"76","Coromandel International Limited","COROMANDEL","P&F | F.A","2.81%","1573.1","1,250,531"
"145","Balrampur Chini Mills Limited","BALRAMCHIN","P&F | F.A","2.75%","440.85","6,371,818"
"57","Deepak Nitrite Limited","DEEPAKNTR","P&F | F.A","2.62%","2485.9","918,506"
"161","Rbl Bank Limited","RBLBANK","P&F | F.A","2.42%","266.11","12,335,878"
"22","Coforge (Niit Tech)","COFORGE","P&F | F.A","2.31%","5395.15","857,756"
"11","Oracle Financial Services Software Limited","OFSS","P&F | F.A","1.99%","9833.35","602,326"
"97","Icici Bank Limited","ICICIBANK","P&F | F.A","1.92%","1144.45","34,309,514"
"2","BANKNIFTY","BANKNIFTY","P&F | F.A","1.9%","51398.05","0"
"71","Kotak Mahindra Bank Limited","KOTAKBANK","P&F | F.A","1.59%","1746.7","9,959,798"
"3","Page Industries Limited","PAGEIND","P&F | F.A","1.36%","38946.9","25,797"
"79","Indusind Bank Limited","INDUSINDBK","P&F | F.A","1.35%","1528.2","11,002,582"
"113","Sun Tv Network Limited","SUNTV","P&F | F.A","1.29%","766.85","1,337,372"
"103","Jindal Steel & Power Limited","JINDALSTEL","P&F | F.A","1.23%","1046.95","2,074,723"
"151","Biocon Limited","BIOCON","P&F | F.A","1.19%","332.25","7,310,198"
"55","Indiamart Intermesh Ltd","INDIAMART","P&F | F.A","1.18%","2593.7","305,318"
"170","Motherson Sumi Systems Limited","MOTHERSON","P&F | F.A","1.1%","182.3","48,784,725"
"40","Navin Fluorine International Limited","NAVINFLUOR","P&F | F.A","1.06%","3637.85","365,745"
"118","Birlasoft Ltd","BSOFT","P&F | F.A","1.03%","690.85","4,390,773"
"112","State Bank Of India","SBIN","P&F | F.A","0.91%","852.6","32,925,140"
"17","Info Edge (india) Limited","NAUKRI","P&F | F.A","0.89%","6241.75","242,632"
"80","Infosys Limited","INFY","P&F | F.A","0.88%","1511.35","5,493,456"
"183","IDFC First Bank Ltd","IDFCFIRSTB","P&F | F.A","0.87%","82.17","116,468,010"
"163","Aditya Birla Capital Ltd","ABCAPITAL","P&F | F.A","0.86%","238.1","7,200,835"
"70","ICICI Lombard General Insurance Company Ltd","ICICIGI","P&F | F.A","0.83%","1759.75","2,946,420"
"137","Wipro Limited","WIPRO","P&F | F.A","0.79%","495.75","10,440,142"
